COUNTRY,FLOW,PARTNER,YEAR,VALUE
Austria,Exports,Czech Republic,2012,5714635663
Austria,Exports,Czech Republic,2013,5628067043
Austria,Exports,Czech Republic,2015,5129827400
Austria,Exports,Czech Republic,2016,5186891853
Austria,Exports,Denmark,2010,761147616
Austria,Exports,Denmark,2011,858673470
Austria,Exports,Denmark,2012,872799817
Austria,Exports,Denmark,2013,870731791
Austria,Exports,Denmark,2015,760718326
Austria,Exports,Denmark,2016,777400891
Austria,Exports,Finland,2010,666694042
Austria,Exports,Finland,2011,734307199
Austria,Exports,Finland,2012,654309329
Austria,Exports,Finland,2013,646353031
Austria,Exports,Finland,2015,556660411
Austria,Exports,Finland,2016,590325591
Austria,Exports,France,2010,5850544454
Austria,Exports,France,2011,7085754371
Austria,Exports,France,2012,7167178227
Austria,Exports,France,2013,7734494345
Austria,Exports,France,2015,6494087862
Austria,Exports,France,2016,5849790580
Austria,Exports,Germany,2010,46217743386
Austria,Exports,Germany,2011,53679602120
Austria,Exports,Germany,2012,49378871592
Austria,Exports,Germany,2013,50063234433
Austria,Exports,Germany,2015,43477550262
Austria,Exports,Germany,2016,44302965630
Austria,Exports,Greece,2010,694934665
Austria,Exports,Greece,2011,623606152
Austria,Exports,Greece,2012,507171448
Austria,Exports,Greece,2013,512558414
Austria,Exports,Greece,2015,412365792
Austria,Exports,Greece,2016,454838247
Austria,Exports,Hungary,2010,4690119937
Austria,Exports,Hungary,2011,5469143556
Austria,Exports,Hungary,2012,4813150153
Austria,Exports,Hungary,2013,5306731149
Austria,Exports,Hungary,2015,4829049890
Austria,Exports,Hungary,2016,4934486871
Austria,Exports,Iceland,2010,14201001
Austria,Exports,Iceland,2011,39259171
Austria,Exports,Iceland,2012,19972063
Austria,Exports,Iceland,2013,29451908
Austria,Exports,Iceland,2014,20162195
Austria,Exports,Iceland,2015,19419584
Austria,Exports,Iceland,2016,26312266
Austria,Exports,Ireland,2010,265567483
Austria,Exports,Ireland,2011,283897248
Austria,Exports,Ireland,2012,363788255
Austria,Exports,Ireland,2013,1540844755
Austria,Exports,Ireland,2015,282147832
Austria,Exports,Ireland,2016,275143473
Austria,Exports,Italy,2010,10597605491
Austria,Exports,Italy,2011,11967321610
Austria,Exports,Italy,2012,10279992753
Austria,Exports,Italy,2013,10702229400
Austria,Exports,Italy,2015,8965935729
Austria,Exports,Italy,2016,9127422993
Austria,Exports,Japan,2010,1304923024
Austria,Exports,Japan,2011,1582377143
Austria,Exports,Japan,2012,1492600001
Austria,Exports,Japan,2013,1535027702
Austria,Exports,Japan,2014,1562906428
Austria,Exports,Japan,2015,1340881104
Austria,Exports,Japan,2016,1347804016
Austria,Exports,Korea,2010,911671964
Austria,Exports,Korea,2011,1269957354
Austria,Exports,Korea,2012,1169040656
Austria,Exports,Korea,2013,1059537587
Austria,Exports,Korea,2014,1050052199
Austria,Exports,Korea,2015,910394582
Austria,Exports,Korea,2016,933275106
Austria,Exports,Luxembourg,2010,165815992
Austria,Exports,Luxembourg,2011,206004983
Austria,Exports,Luxembourg,2012,244109448
Austria,Exports,Luxembourg,2013,248762797
Austria,Exports,Luxembourg,2015,179268337
Austria,Exports,Luxembourg,2016,173499151
Austria,Exports,Mexico,2010,481615114
Austria,Exports,Mexico,2011,540185411
Austria,Exports,Mexico,2012,614766788
Austria,Exports,Mexico,2013,669448258
Austria,Exports,Mexico,2014,723964168
Austria,Exports,Mexico,2015,771972864
Austria,Exports,Mexico,2016,957810619
Austria,Exports,Netherlands,2010,2379306089
Austria,Exports,Netherlands,2011,2731163970
Austria,Exports,Netherlands,2012,2492871821
Austria,Exports,Netherlands,2013,2634807361
Austria,Exports,Netherlands,2015,2420775545
Austria,Exports,Netherlands,2016,2499020778
Austria,Exports,New Zealand,2010,89761294
Austria,Exports,New Zealand,2011,109846157
Austria,Exports,New Zealand,2012,101218251
Austria,Exports,New Zealand,2013,150702318
Austria,Exports,New Zealand,2014,196607308
Austria,Exports,New Zealand,2015,118358479
Austria,Exports,New Zealand,2016,125813900
Austria,Exports,Norway,2010,525806779
Austria,Exports,Norway,2011,564304317
Austria,Exports,Norway,2012,684772941
Austria,Exports,Norway,2013,713243056
Austria,Exports,Norway,2014,608622422
Austria,Exports,Norway,2015,463838712
Austria,Exports,Norway,2016,457172872
Austria,Exports,Poland,2010,4014204127
Austria,Exports,Poland,2011,5024644674
Austria,Exports,Poland,2012,4593015776
Austria,Exports,Poland,2013,4966893229
Austria,Exports,Poland,2015,4806039619
Austria,Exports,Poland,2016,4469629628
Austria,Exports,Portugal,2010,452362968
Austria,Exports,Portugal,2011,457251051
Austria,Exports,Portugal,2012,383437900
Austria,Exports,Portugal,2013,369767803
Austria,Exports,Portugal,2015,339999875
Austria,Exports,Portugal,2016,330457061
Austria,Exports,Slovak Republic,2010,3845140825
Austria,Exports,Slovak Republic,2011,4520080605
Austria,Exports,Slovak Republic,2012,5943587388
Austria,Exports,Slovak Republic,2013,7085409799
Austria,Exports,Slovak Republic,2015,6412741401
Austria,Exports,Slovak Republic,2016,6695061349
Austria,Exports,Spain,2010,2682829171
Austria,Exports,Spain,2011,2886372235
Austria,Exports,Spain,2012,2413336369
Austria,Exports,Spain,2013,2585869251
Austria,Exports,Spain,2015,2543310158
Austria,Exports,Spain,2016,2605743007
Austria,Exports,Sweden,2010,1567555683
Austria,Exports,Sweden,2011,1983550865
Austria,Exports,Sweden,2012,1705381961
Austria,Exports,Sweden,2013,1903547492
Austria,Exports,Sweden,2015,1620661442
Austria,Exports,Sweden,2016,1627913650
Austria,Exports,Switzerland,2010,7511610267
Austria,Exports,Switzerland,2011,9150862062
Austria,Exports,Switzerland,2012,8730039620
Austria,Exports,Switzerland,2013,9164653262
Austria,Exports,Switzerland,2014,9657568009
Austria,Exports,Switzerland,2015,8548458816
Austria,Exports,Switzerland,2016,8507406700
Austria,Exports,Turkey,2010,1418391862
Austria,Exports,Turkey,2011,1746173092
Austria,Exports,Turkey,2012,1580127415
Austria,Exports,Turkey,2013,1657905331
Austria,Exports,Turkey,2014,1603400012
Austria,Exports,Turkey,2015,1561678434
Austria,Exports,Turkey,2016,1476020841
Austria,Exports,United Kingdom,2010,4467787407
Austria,Exports,United Kingdom,2011,5202375495
Austria,Exports,United Kingdom,2012,4460631678
Austria,Exports,United Kingdom,2013,4757562400
Austria,Exports,United Kingdom,2015,4594908616
Austria,Exports,United Kingdom,2016,4458631670
Austria,Exports,United States,2010,6322364717
Austria,Exports,United States,2011,8216834976
Austria,Exports,United States,2012,8018707280
Austria,Exports,United States,2013,8413275631
Austria,Exports,United States,2014,9525284011
Austria,Exports,United States,2015,9303405275
Austria,Exports,United States,2016,9209255610
Austria,Exports,Argentina,2010,148716947
Austria,Exports,Argentina,2011,172628501
Austria,Exports,Argentina,2012,240723824
Austria,Exports,Argentina,2013,154382185
Austria,Exports,Argentina,2014,154948964
Austria,Exports,Argentina,2015,130693107
Austria,Exports,Argentina,2016,134955927
Austria,Exports,Brazil,2010,1040199043
Austria,Exports,Brazil,2011,1215052738
Austria,Exports,Brazil,2012,1362693091
Austria,Exports,Brazil,2013,1086329385
Austria,Exports,Brazil,2014,894384936
Austria,Exports,Brazil,2015,693067121
Austria,Exports,Brazil,2016,623858326
Austria,Exports,Chile,2010,163556764
Austria,Exports,Chile,2011,197818924
Austria,Exports,Chile,2012,188615081
